,title,type,listed_in,director,country,rating,duration_value,duration_unit,release_year,date_added,added_year,added_month,added_day_of_month,added_week_day_number,added_week_day_name
610,Deep,Movie,Dramas,Apirak Samudkitpaisan,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
611,Deep,Movie,Dramas,Thanabodee Uawithya,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
612,Deep,Movie,Dramas,Adirek Wattaleela,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
613,Deep,Movie,International Movies,Sita Likitvanichkul,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
614,Deep,Movie,International Movies,Jetarin Ratanaserikiat,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
615,Deep,Movie,International Movies,Apirak Samudkitpaisan,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
616,Deep,Movie,International Movies,Thanabodee Uawithya,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
617,Deep,Movie,International Movies,Adirek Wattaleela,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
618,Deep,Movie,Thrillers,Sita Likitvanichkul,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
619,Deep,Movie,Thrillers,Jetarin Ratanaserikiat,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
620,Deep,Movie,Thrillers,Apirak Samudkitpaisan,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
621,Deep,Movie,Thrillers,Thanabodee Uawithya,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
622,Deep,Movie,Thrillers,Adirek Wattaleela,Thailand,TV-MA,101,min,2021,2021-07-16,2021,7,16,4,friday
623,La ley de Herodes,Movie,Comedies,Luis Estrada,Mexico,R,123,min,1999,2021-07-16,2021,7,16,4,friday
624,La ley de Herodes,Movie,International Movies,Luis Estrada,Mexico,R,123,min,1999,2021-07-16,2021,7,16,4,friday
625,The Beguiled,Movie,Dramas,Sofia Coppola,United States,R,94,min,2017,2021-07-16,2021,7,16,4,friday
626,The Beguiled,Movie,Independent Movies,Sofia Coppola,United States,R,94,min,2017,2021-07-16,2021,7,16,4,friday
627,The Beguiled,Movie,Thrillers,Sofia Coppola,United States,R,94,min,2017,2021-07-16,2021,7,16,4,friday
628,The Book of Henry,Movie,Dramas,Colin Trevorrow,United States,PG-13,105,min,2017,2021-07-16,2021,7,16,4,friday
629,The Twilight Saga: Breaking Dawn: Part 1,Movie,Dramas,Bill Condon,United States,PG-13,117,min,2011,2021-07-16,2021,7,16,4,friday
630,The Twilight Saga: Breaking Dawn: Part 1,Movie,Romantic Movies,Bill Condon,United States,PG-13,117,min,2011,2021-07-16,2021,7,16,4,friday
631,The Twilight Saga: Breaking Dawn: Part 2,Movie,Dramas,Bill Condon,United States,PG-13,115,min,2012,2021-07-16,2021,7,16,4,friday
632,The Twilight Saga: Breaking Dawn: Part 2,Movie,Romantic Movies,Bill Condon,United States,PG-13,115,min,2012,2021-07-16,2021,7,16,4,friday
633,The Twilight Saga: Eclipse,Movie,Dramas,David Slade,United States,PG-13,124,min,2010,2021-07-16,2021,7,16,4,friday
634,The Twilight Saga: Eclipse,Movie,Romantic Movies,David Slade,United States,PG-13,124,min,2010,2021-07-16,2021,7,16,4,friday
635,The Twilight Saga: New Moon,Movie,Dramas,Chris Weitz,United States,PG-13,131,min,2009,2021-07-16,2021,7,16,4,friday
636,The Twilight Saga: New Moon,Movie,Romantic Movies,Chris Weitz,United States,PG-13,131,min,2009,2021-07-16,2021,7,16,4,friday
637,Twilight,Movie,Action & Adventure,Catherine Hardwicke,United States,PG-13,122,min,2008,2021-07-16,2021,7,16,4,friday
638,Twilight,Movie,Dramas,Catherine Hardwicke,United States,PG-13,122,min,2008,2021-07-16,2021,7,16,4,friday
639,Twilight,Movie,Romantic Movies,Catherine Hardwicke,United States,PG-13,122,min,2008,2021-07-16,2021,7,16,4,friday
640,A Perfect Fit,Movie,Comedies,Hadrah Daeng Ratu,Indonesia,TV-PG,113,min,2021,2021-07-15,2021,7,15,3,thursday
641,A Perfect Fit,Movie,Dramas,Hadrah Daeng Ratu,Indonesia,TV-PG,113,min,2021,2021-07-15,2021,7,15,3,thursday
642,A Perfect Fit,Movie,International Movies,Hadrah Daeng Ratu,Indonesia,TV-PG,113,min,2021,2021-07-15,2021,7,15,3,thursday
643,Surf's Up,Movie,Children & Family Movies,Ash Brannon,United States,PG,86,min,2007,2021-07-15,2021,7,15,3,thursday
644,Surf's Up,Movie,Children & Family Movies,Chris Buck,United States,PG,86,min,2007,2021-07-15,2021,7,15,3,thursday
645,Surf's Up,Movie,Comedies,Ash Brannon,United States,PG,86,min,2007,2021-07-15,2021,7,15,3,thursday
646,Surf's Up,Movie,Comedies,Chris Buck,United States,PG,86,min,2007,2021-07-15,2021,7,15,3,thursday
647,Surf's Up,Movie,Sports Movies,Ash Brannon,United States,PG,86,min,2007,2021-07-15,2021,7,15,3,thursday
648,Surf's Up,Movie,Sports Movies,Chris Buck,United States,PG,86,min,2007,2021-07-15,2021,7,15,3,thursday
649,This Changes Everything,Movie,Documentaries,Tom Donahue,United States,TV-MA,96,min,2019,2021-07-15,2021,7,15,3,thursday
650,A Classic Horror Story,Movie,Horror Movies,Roberto De Feo,Italy,TV-MA,95,min,2021,2021-07-14,2021,7,14,2,wednesday
651,A Classic Horror Story,Movie,Horror Movies,Paolo Strippoli,Italy,TV-MA,95,min,2021,2021-07-14,2021,7,14,2,wednesday
652,A Classic Horror Story,Movie,International Movies,Roberto De Feo,Italy,TV-MA,95,min,2021,2021-07-14,2021,7,14,2,wednesday
653,A Classic Horror Story,Movie,International Movies,Paolo Strippoli,Italy,TV-MA,95,min,2021,2021-07-14,2021,7,14,2,wednesday
654,American Woman,Movie,Dramas,Semi Chellas,United States,TV-MA,87,min,2019,2021-07-13,2021,7,13,1,tuesday
655,American Woman,Movie,Independent Movies,Semi Chellas,United States,TV-MA,87,min,2019,2021-07-13,2021,7,13,1,tuesday
656,Born to Play,Movie,Documentaries,Viridiana Lieberman,United States,TV-MA,93,min,2020,2021-07-12,2021,7,12,0,monday
657,Born to Play,Movie,Sports Movies,Viridiana Lieberman,United States,TV-MA,93,min,2020,2021-07-12,2021,7,12,0,monday
658,American Ultra,Movie,Action & Adventure,Nima Nourizadeh,United States,R,96,min,2015,2021-07-10,2021,7,10,5,saturday
659,American Ultra,Movie,Comedies,Nima Nourizadeh,United States,R,96,min,2015,2021-07-10,2021,7,10,5,saturday
660,Lee Su-geun: The Sense Coach,Movie,Stand-Up Comedy,Kim Joo-hyung,South Korea,TV-G,46,min,2021,2021-07-09,2021,7,9,4,friday
661,Ratchet and Clank,Movie,Children & Family Movies,Jericca Cleland,Hong Kong,PG,94,min,2016,2021-07-09,2021,7,9,4,friday
662,Ratchet and Clank,Movie,Children & Family Movies,Kevin Munroe,Hong Kong,PG,94,min,2016,2021-07-09,2021,7,9,4,friday
663,Ratchet and Clank,Movie,Comedies,Jericca Cleland,Hong Kong,PG,94,min,2016,2021-07-09,2021,7,9,4,friday
664,Ratchet and Clank,Movie,Comedies,Kevin Munroe,Hong Kong,PG,94,min,2016,2021-07-09,2021,7,9,4,friday
665,Ratchet and Clank,Movie,Sci-Fi & Fantasy,Jericca Cleland,Hong Kong,PG,94,min,2016,2021-07-09,2021,7,9,4,friday
666,Ratchet and Clank,Movie,Sci-Fi & Fantasy,Kevin Munroe,Hong Kong,PG,94,min,2016,2021-07-09,2021,7,9,4,friday
667,Back to Q82,Movie,Comedies,Ahmed Siddiqui,Kuwait,TV-14,104,min,2017,2021-07-08,2021,7,8,3,thursday
668,Back to Q82,Movie,International Movies,Ahmed Siddiqui,Kuwait,TV-14,104,min,2017,2021-07-08,2021,7,8,3,thursday
669,Home Again,Movie,Comedies,Hallie Meyers-Shyer,United States,PG-13,97,min,2017,2021-07-08,2021,7,8,3,thursday
670,Home Again,Movie,Dramas,Hallie Meyers-Shyer,United States,PG-13,97,min,2017,2021-07-08,2021,7,8,3,thursday
671,Home Again,Movie,Romantic Movies,Hallie Meyers-Shyer,United States,PG-13,97,min,2017,2021-07-08,2021,7,8,3,thursday
672,Midnight Sun,Movie,Dramas,Scott Speer,United States,PG-13,91,min,2018,2021-07-08,2021,7,8,3,thursday
673,Midnight Sun,Movie,Romantic Movies,Scott Speer,United States,PG-13,91,min,2018,2021-07-08,2021,7,8,3,thursday
674,Rock the Kasbah,Movie,Comedies,Barry Levinson,United States,R,106,min,2015,2021-07-08,2021,7,8,3,thursday
675,Rock the Kasbah,Movie,Music & Musicals,Barry Levinson,United States,R,106,min,2015,2021-07-08,2021,7,8,3,thursday
676,Brick Mansions,Movie,Action & Adventure,Camille Delamarre,France,PG-13,90,min,2014,2021-07-07,2021,7,7,2,wednesday
677,Brick Mansions,Movie,International Movies,Camille Delamarre,France,PG-13,90,min,2014,2021-07-07,2021,7,7,2,wednesday
678,Mama Drama,Movie,Dramas,Seyi Babatope,Nigeria,TV-MA,105,min,2020,2021-07-07,2021,7,7,2,wednesday
679,Mama Drama,Movie,International Movies,Seyi Babatope,Nigeria,TV-MA,105,min,2020,2021-07-07,2021,7,7,2,wednesday
680,Tango With Me,Movie,Dramas,Mahmood Ali-Balogun,Nigeria,TV-14,104,min,2010,2021-07-07,2021,7,7,2,wednesday
681,Tango With Me,Movie,International Movies,Mahmood Ali-Balogun,Nigeria,TV-14,104,min,2010,2021-07-07,2021,7,7,2,wednesday
682,Tango With Me,Movie,Romantic Movies,Mahmood Ali-Balogun,Nigeria,TV-14,104,min,2010,2021-07-07,2021,7,7,2,wednesday
683,The Mire,TV Show,Crime TV Shows,Jan Holoubek,Poland,TV-MA,2,Seasons,2021,2021-07-07,2021,7,7,2,wednesday
684,The Mire,TV Show,International TV Shows,Jan Holoubek,Poland,TV-MA,2,Seasons,2021,2021-07-07,2021,7,7,2,wednesday
685,The Mire,TV Show,TV Dramas,Jan Holoubek,Poland,TV-MA,2,Seasons,2021,2021-07-07,2021,7,7,2,wednesday
686,This Little Love Of Mine,Movie,International Movies,Christine Luby,Australia,TV-G,92,min,2021,2021-07-07,2021,7,7,2,wednesday
687,This Little Love Of Mine,Movie,Romantic Movies,Christine Luby,Australia,TV-G,92,min,2021,2021-07-07,2021,7,7,2,wednesday
688,A Land Imagined,Movie,Dramas,Yeo Siew Hua,France,TV-MA,95,min,2019,2021-07-06,2021,7,6,1,tuesday
689,A Land Imagined,Movie,International Movies,Yeo Siew Hua,France,TV-MA,95,min,2019,2021-07-06,2021,7,6,1,tuesday
690,Har Kisse Ke Hisse: Kaamyaab,Movie,Dramas,Hardik Mehta,India,TV-14,105,min,2020,2021-07-06,2021,7,6,1,tuesday
691,Har Kisse Ke Hisse: Kaamyaab,Movie,International Movies,Hardik Mehta,India,TV-14,105,min,2020,2021-07-06,2021,7,6,1,tuesday
692,Rehmataan,Movie,Dramas,Rajveer Singh Maan,India,TV-14,116,min,2012,2021-07-06,2021,7,6,1,tuesday
693,Rehmataan,Movie,Dramas,Harpeet Singh,India,TV-14,116,min,2012,2021-07-06,2021,7,6,1,tuesday
694,Rehmataan,Movie,International Movies,Rajveer Singh Maan,India,TV-14,116,min,2012,2021-07-06,2021,7,6,1,tuesday
695,Rehmataan,Movie,International Movies,Harpeet Singh,India,TV-14,116,min,2012,2021-07-06,2021,7,6,1,tuesday
696,Rehmataan,Movie,Romantic Movies,Rajveer Singh Maan,India,TV-14,116,min,2012,2021-07-06,2021,7,6,1,tuesday
697,Rehmataan,Movie,Romantic Movies,Harpeet Singh,India,TV-14,116,min,2012,2021-07-06,2021,7,6,1,tuesday
698,Return of the Prodigal Son,Movie,Dramas,Youssef Chahine,Egypt,TV-MA,124,min,1976,2021-07-06,2021,7,6,1,tuesday
699,Return of the Prodigal Son,Movie,International Movies,Youssef Chahine,Egypt,TV-MA,124,min,1976,2021-07-06,2021,7,6,1,tuesday
700,Rise: Ini Kalilah,Movie,Dramas,Saw Teong Hin,Malaysia,TV-PG,101,min,2018,2021-07-06,2021,7,6,1,tuesday
701,Rise: Ini Kalilah,Movie,Dramas,Nik Amir Mustapha,Malaysia,TV-PG,101,min,2018,2021-07-06,2021,7,6,1,tuesday
702,Rise: Ini Kalilah,Movie,Dramas,M.S. Prem Nath,Malaysia,TV-PG,101,min,2018,2021-07-06,2021,7,6,1,tuesday
703,Rise: Ini Kalilah,Movie,International Movies,Saw Teong Hin,Malaysia,TV-PG,101,min,2018,2021-07-06,2021,7,6,1,tuesday
704,Rise: Ini Kalilah,Movie,International Movies,Nik Amir Mustapha,Malaysia,TV-PG,101,min,2018,2021-07-06,2021,7,6,1,tuesday
705,Rise: Ini Kalilah,Movie,International Movies,M.S. Prem Nath,Malaysia,TV-PG,101,min,2018,2021-07-06,2021,7,6,1,tuesday
706,Si Doel the Movie 2,Movie,Dramas,Rano Karno,Indonesia,TV-G,95,min,2019,2021-07-06,2021,7,6,1,tuesday
707,Si Doel the Movie 2,Movie,International Movies,Rano Karno,Indonesia,TV-G,95,min,2019,2021-07-06,2021,7,6,1,tuesday
708,Truckbhar Swapna,Movie,Comedies,Pramod Pawar,India,TV-14,128,min,2018,2021-07-06,2021,7,6,1,tuesday
709,Truckbhar Swapna,Movie,Dramas,Pramod Pawar,India,TV-14,128,min,2018,2021-07-06,2021,7,6,1,tuesday
710,Truckbhar Swapna,Movie,International Movies,Pramod Pawar,India,TV-14,128,min,2018,2021-07-06,2021,7,6,1,tuesday
711,Ujala,Movie,Dramas,Naresh Saigal,India,TV-14,143,min,1959,2021-07-06,2021,7,6,1,tuesday
712,Ujala,Movie,International Movies,Naresh Saigal,India,TV-14,143,min,1959,2021-07-06,2021,7,6,1,tuesday
713,Haseen Dillruba,Movie,International Movies,Vinil Mathew,India,TV-MA,136,min,2021,2021-07-02,2021,7,2,4,friday
714,Haseen Dillruba,Movie,Romantic Movies,Vinil Mathew,India,TV-MA,136,min,2021,2021-07-02,2021,7,2,4,friday
715,Haseen Dillruba,Movie,Thrillers,Vinil Mathew,India,TV-MA,136,min,2021,2021-07-02,2021,7,2,4,friday
716,RattleSnake - The Ahanna Story,Movie,Dramas,Ramsey Nouah,Nigeria,TV-MA,136,min,2020,2021-07-02,2021,7,2,4,friday
717,RattleSnake - The Ahanna Story,Movie,International Movies,Ramsey Nouah,Nigeria,TV-MA,136,min,2020,2021-07-02,2021,7,2,4,friday
718,RattleSnake - The Ahanna Story,Movie,Thrillers,Ramsey Nouah,Nigeria,TV-MA,136,min,2020,2021-07-02,2021,7,2,4,friday
719,Snowpiercer,Movie,Action & Adventure,Bong Joon Ho,South Korea,R,126,min,2013,2021-07-02,2021,7,2,4,friday
720,Snowpiercer,Movie,Cult Movies,Bong Joon Ho,South Korea,R,126,min,2013,2021-07-02,2021,7,2,4,friday
721,Snowpiercer,Movie,International Movies,Bong Joon Ho,South Korea,R,126,min,2013,2021-07-02,2021,7,2,4,friday
722,The 8th Night,Movie,Horror Movies,Kim Tae-hyung,South Korea,TV-14,116,min,2021,2021-07-02,2021,7,2,4,friday
723,The 8th Night,Movie,International Movies,Kim Tae-hyung,South Korea,TV-14,116,min,2021,2021-07-02,2021,7,2,4,friday
724,The 8th Night,Movie,Thrillers,Kim Tae-hyung,South Korea,TV-14,116,min,2021,2021-07-02,2021,7,2,4,friday
725,Winchester,Movie,Horror Movies,Michael Spierig,Australia,PG-13,100,min,2018,2021-07-02,2021,7,2,4,friday
726,Winchester,Movie,Horror Movies,Peter Spierig,Australia,PG-13,100,min,2018,2021-07-02,2021,7,2,4,friday
727,Winchester,Movie,Sci-Fi & Fantasy,Michael Spierig,Australia,PG-13,100,min,2018,2021-07-02,2021,7,2,4,friday
728,Winchester,Movie,Sci-Fi & Fantasy,Peter Spierig,Australia,PG-13,100,min,2018,2021-07-02,2021,7,2,4,friday
729,6 Bullets,Movie,Action & Adventure,Ernie Barbarash,United States,R,115,min,2012,2021-07-01,2021,7,1,3,thursday
730,Air Force One,Movie,Action & Adventure,Wolfgang Petersen,United States,R,125,min,1997,2021-07-01,2021,7,1,3,thursday
731,Austin Powers in Goldmember,Movie,Action & Adventure,Jay Roach,United States,PG-13,94,min,2002,2021-07-01,2021,7,1,3,thursday
732,Austin Powers in Goldmember,Movie,Comedies,Jay Roach,United States,PG-13,94,min,2002,2021-07-01,2021,7,1,3,thursday
733,Austin Powers: International Man of Mystery,Movie,Comedies,Jay Roach,United States,PG-13,90,min,1997,2021-07-01,2021,7,1,3,thursday
734,Austin Powers: The Spy Who Shagged Me,Movie,Action & Adventure,Jay Roach,United States,PG-13,95,min,1999,2021-07-01,2021,7,1,3,thursday
735,Austin Powers: The Spy Who Shagged Me,Movie,Comedies,Jay Roach,United States,PG-13,95,min,1999,2021-07-01,2021,7,1,3,thursday
736,Austin Powers: The Spy Who Shagged Me,Movie,Sci-Fi & Fantasy,Jay Roach,United States,PG-13,95,min,1999,2021-07-01,2021,7,1,3,thursday
737,Boogie Nights,Movie,Comedies,Paul Thomas Anderson,United States,R,155,min,1997,2021-07-01,2021,7,1,3,thursday
738,Boogie Nights,Movie,Dramas,Paul Thomas Anderson,United States,R,155,min,1997,2021-07-01,2021,7,1,3,thursday
739,Boogie Nights,Movie,Independent Movies,Paul Thomas Anderson,United States,R,155,min,1997,2021-07-01,2021,7,1,3,thursday
740,Charlie's Angels,Movie,Action & Adventure,McG,United States,PG-13,98,min,2000,2021-07-01,2021,7,1,3,thursday
741,Charlie's Angels,Movie,Comedies,McG,United States,PG-13,98,min,2000,2021-07-01,2021,7,1,3,thursday
742,Congo,Movie,Action & Adventure,Frank Marshall,United States,PG-13,108,min,1995,2021-07-01,2021,7,1,3,thursday
743,Congo,Movie,Thrillers,Frank Marshall,United States,PG-13,108,min,1995,2021-07-01,2021,7,1,3,thursday
744,Dennis the Menace,Movie,Children & Family Movies,Nick Castle,United States,PG,96,min,1993,2021-07-01,2021,7,1,3,thursday
745,Dennis the Menace,Movie,Comedies,Nick Castle,United States,PG,96,min,1993,2021-07-01,2021,7,1,3,thursday
746,Dreamy Eyes,Movie,Dramas,Victor Vu,Vietnam,TV-14,117,min,2019,2021-07-01,2021,7,1,3,thursday
747,Dreamy Eyes,Movie,International Movies,Victor Vu,Vietnam,TV-14,117,min,2019,2021-07-01,2021,7,1,3,thursday
748,Dreamy Eyes,Movie,Romantic Movies,Victor Vu,Vietnam,TV-14,117,min,2019,2021-07-01,2021,7,1,3,thursday
749,Masameer County,TV Show,International TV Shows,Malik Nejer,Saudi Arabia,TV-MA,1,Season,2021,2021-07-01,2021,7,1,3,thursday
750,Masameer County,TV Show,TV Comedies,Malik Nejer,Saudi Arabia,TV-MA,1,Season,2021,2021-07-01,2021,7,1,3,thursday
751,Hampstead,Movie,Comedies,Joel Hopkins,United Kingdom,PG-13,103,min,2019,2021-07-01,2021,7,1,3,thursday
752,Hampstead,Movie,Dramas,Joel Hopkins,United Kingdom,PG-13,103,min,2019,2021-07-01,2021,7,1,3,thursday
753,Hampstead,Movie,International Movies,Joel Hopkins,United Kingdom,PG-13,103,min,2019,2021-07-01,2021,7,1,3,thursday
754,Kung Fu Panda,Movie,Children & Family Movies,John Stevenson,United States,PG,94,min,2008,2021-07-01,2021,7,1,3,thursday
755,Kung Fu Panda,Movie,Children & Family Movies,Mark Osborne,United States,PG,94,min,2008,2021-07-01,2021,7,1,3,thursday
756,Kung Fu Panda,Movie,Comedies,John Stevenson,United States,PG,94,min,2008,2021-07-01,2021,7,1,3,thursday
757,Kung Fu Panda,Movie,Comedies,Mark Osborne,United States,PG,94,min,2008,2021-07-01,2021,7,1,3,thursday
758,Kung Fu Panda 2,Movie,Children & Family Movies,Jennifer Yuh Nelson,United States,PG,93,min,2011,2021-07-01,2021,7,1,3,thursday
759,Kung Fu Panda 2,Movie,Comedies,Jennifer Yuh Nelson,United States,PG,93,min,2011,2021-07-01,2021,7,1,3,thursday
760,Life as We Know It,Movie,Comedies,Greg Berlanti,United States,PG-13,115,min,2010,2021-07-01,2021,7,1,3,thursday
761,Life as We Know It,Movie,Dramas,Greg Berlanti,United States,PG-13,115,min,2010,2021-07-01,2021,7,1,3,thursday
762,Life as We Know It,Movie,Romantic Movies,Greg Berlanti,United States,PG-13,115,min,2010,2021-07-01,2021,7,1,3,thursday
763,Mary Magdalene,Movie,Dramas,Garth Davis,United Kingdom,R,120,min,2019,2021-07-01,2021,7,1,3,thursday
764,Mary Magdalene,Movie,Faith & Spirituality,Garth Davis,United Kingdom,R,120,min,2019,2021-07-01,2021,7,1,3,thursday
765,Mary Magdalene,Movie,International Movies,Garth Davis,United Kingdom,R,120,min,2019,2021-07-01,2021,7,1,3,thursday
766,Memoirs of a Geisha,Movie,Dramas,Rob Marshall,France,PG-13,145,min,2005,2021-07-01,2021,7,1,3,thursday
767,Memoirs of a Geisha,Movie,Romantic Movies,Rob Marshall,France,PG-13,145,min,2005,2021-07-01,2021,7,1,3,thursday
768,Midnight Run,Movie,Action & Adventure,Martin Brest,United States,R,126,min,1988,2021-07-01,2021,7,1,3,thursday
769,Midnight Run,Movie,Classic Movies,Martin Brest,United States,R,126,min,1988,2021-07-01,2021,7,1,3,thursday
770,Midnight Run,Movie,Comedies,Martin Brest,United States,R,126,min,1988,2021-07-01,2021,7,1,3,thursday
771,Mortal Kombat,Movie,Action & Adventure,Paul W.S. Anderson,United States,PG-13,101,min,1995,2021-07-01,2021,7,1,3,thursday
772,Mortal Kombat,Movie,Sci-Fi & Fantasy,Paul W.S. Anderson,United States,PG-13,101,min,1995,2021-07-01,2021,7,1,3,thursday
773,Mother's Day,Movie,Comedies,Garry Marshall,United States,PG-13,118,min,2016,2021-07-01,2021,7,1,3,thursday
774,Mother's Day,Movie,Dramas,Garry Marshall,United States,PG-13,118,min,2016,2021-07-01,2021,7,1,3,thursday
775,No Strings Attached,Movie,Comedies,Ivan Reitman,United States,R,109,min,2011,2021-07-01,2021,7,1,3,thursday
776,No Strings Attached,Movie,Romantic Movies,Ivan Reitman,United States,R,109,min,2011,2021-07-01,2021,7,1,3,thursday
777,Not Another Teen Movie,Movie,Comedies,Joel Gallen,United States,R,89,min,2001,2021-07-01,2021,7,1,3,thursday
778,Ophelia,Movie,Dramas,Claire McCarthy,United Kingdom,PG-13,106,min,2018,2021-07-01,2021,7,1,3,thursday
779,Ophelia,Movie,Romantic Movies,Claire McCarthy,United Kingdom,PG-13,106,min,2018,2021-07-01,2021,7,1,3,thursday
780,Red Joan,Movie,Dramas,Trevor Nunn,United Kingdom,R,101,min,2019,2021-07-01,2021,7,1,3,thursday
781,Red Joan,Movie,International Movies,Trevor Nunn,United Kingdom,R,101,min,2019,2021-07-01,2021,7,1,3,thursday
782,Seven Pounds,Movie,Dramas,Gabriele Muccino,United States,PG-13,123,min,2008,2021-07-01,2021,7,1,3,thursday
783,Seven Pounds,Movie,Romantic Movies,Gabriele Muccino,United States,PG-13,123,min,2008,2021-07-01,2021,7,1,3,thursday
784,She's Out of My League,Movie,Comedies,Jim Field Smith,United States,R,106,min,2010,2021-07-01,2021,7,1,3,thursday
785,She's Out of My League,Movie,Romantic Movies,Jim Field Smith,United States,R,106,min,2010,2021-07-01,2021,7,1,3,thursday
786,Snow Day,Movie,Children & Family Movies,Chris Koch,United States,PG,89,min,2000,2021-07-01,2021,7,1,3,thursday
787,Snow Day,Movie,Comedies,Chris Koch,United States,PG,89,min,2000,2021-07-01,2021,7,1,3,thursday
788,Star Trek,Movie,Action & Adventure,J.J. Abrams,United States,PG-13,128,min,2009,2021-07-01,2021,7,1,3,thursday
789,Star Trek,Movie,Sci-Fi & Fantasy,J.J. Abrams,United States,PG-13,128,min,2009,2021-07-01,2021,7,1,3,thursday
790,Stuart Little,Movie,Children & Family Movies,Rob Minkoff,Germany,PG,85,min,1999,2021-07-01,2021,7,1,3,thursday
791,Stuart Little,Movie,Comedies,Rob Minkoff,Germany,PG,85,min,1999,2021-07-01,2021,7,1,3,thursday
792,Sword of Trust,Movie,Comedies,Lynn Shelton,United States,R,89,min,2019,2021-07-01,2021,7,1,3,thursday
793,Sword of Trust,Movie,Dramas,Lynn Shelton,United States,R,89,min,2019,2021-07-01,2021,7,1,3,thursday
794,Sword of Trust,Movie,Independent Movies,Lynn Shelton,United States,R,89,min,2019,2021-07-01,2021,7,1,3,thursday
795,Talladega Nights: The Ballad of Ricky Bobby,Movie,Action & Adventure,Adam McKay,United States,PG-13,108,min,2006,2021-07-01,2021,7,1,3,thursday
796,Talladega Nights: The Ballad of Ricky Bobby,Movie,Comedies,Adam McKay,United States,PG-13,108,min,2006,2021-07-01,2021,7,1,3,thursday
797,Talladega Nights: The Ballad of Ricky Bobby,Movie,Sports Movies,Adam McKay,United States,PG-13,108,min,2006,2021-07-01,2021,7,1,3,thursday
798,The American,Movie,Dramas,Anton Corbijn,United States,R,105,min,2010,2021-07-01,2021,7,1,3,thursday
799,The American,Movie,Thrillers,Anton Corbijn,United States,R,105,min,2010,2021-07-01,2021,7,1,3,thursday
800,The Best of Enemies,Movie,Dramas,Robin Bissell,United States,PG-13,133,min,2019,2021-07-01,2021,7,1,3,thursday
801,The Game,Movie,Thrillers,David Fincher,United States,R,129,min,1997,2021-07-01,2021,7,1,3,thursday
802,The Karate Kid,Movie,Action & Adventure,John G. Avildsen,United States,PG,127,min,1984,2021-07-01,2021,7,1,3,thursday
803,The Karate Kid,Movie,Children & Family Movies,John G. Avildsen,United States,PG,127,min,1984,2021-07-01,2021,7,1,3,thursday
804,The Karate Kid,Movie,Classic Movies,John G. Avildsen,United States,PG,127,min,1984,2021-07-01,2021,7,1,3,thursday
805,The Karate Kid Part II,Movie,Action & Adventure,John G. Avildsen,United States,PG,113,min,1986,2021-07-01,2021,7,1,3,thursday
806,The Karate Kid Part II,Movie,Children & Family Movies,John G. Avildsen,United States,PG,113,min,1986,2021-07-01,2021,7,1,3,thursday
807,The Karate Kid Part II,Movie,Dramas,John G. Avildsen,United States,PG,113,min,1986,2021-07-01,2021,7,1,3,thursday
808,The Karate Kid Part III,Movie,Children & Family Movies,John G. Avildsen,United States,PG,112,min,1989,2021-07-01,2021,7,1,3,thursday
809,The Karate Kid Part III,Movie,Dramas,John G. Avildsen,United States,PG,112,min,1989,2021-07-01,2021,7,1,3,thursday
810,The Life of David Gale,Movie,Dramas,Alan Parker,United Kingdom,R,130,min,2003,2021-07-01,2021,7,1,3,thursday
811,The Long Riders,Movie,Action & Adventure,Walter Hill,United States,R,100,min,1980,2021-07-01,2021,7,1,3,thursday
812,The Queen,Movie,Dramas,Stephen Frears,United Kingdom,PG-13,103,min,2006,2021-07-01,2021,7,1,3,thursday
813,The Queen,Movie,International Movies,Stephen Frears,United Kingdom,PG-13,103,min,2006,2021-07-01,2021,7,1,3,thursday
814,The Strangers,Movie,Horror Movies,Bryan Bertino,United States,R,85,min,2008,2021-07-01,2021,7,1,3,thursday
815,The Strangers,Movie,Thrillers,Bryan Bertino,United States,R,85,min,2008,2021-07-01,2021,7,1,3,thursday
816,The Sum of All Fears,Movie,Action & Adventure,Phil Alden Robinson,United States,PG-13,124,min,2002,2021-07-01,2021,7,1,3,thursday
817,The Tourist,Movie,Action & Adventure,Florian Henckel von Donnersmarck,United States,PG-13,103,min,2010,2021-07-01,2021,7,1,3,thursday
818,The Tourist,Movie,Romantic Movies,Florian Henckel von Donnersmarck,United States,PG-13,103,min,2010,2021-07-01,2021,7,1,3,thursday
819,Underworld,Movie,Action & Adventure,Len Wiseman,United States,R,121,min,2003,2021-07-01,2021,7,1,3,thursday
820,Underworld,Movie,Horror Movies,Len Wiseman,United States,R,121,min,2003,2021-07-01,2021,7,1,3,thursday
